applicant_id,gender,married,dependents,education,employment_type,applicant_income,existing_emi,loan_amount,loan_term_months,credit_history,region,age,application_date,default_status
APP001209,Male,Yes,2,Graduate,Salaried,23707.0,1215.0,46000.0,36,1.0,EAST,29.0,2023-01-19,0
APP000180,Male,Yes,0,Not Graduate,Self-Employed,101610.0,23458.0,248000.0,120,1.0,East,43.0,2023-03-12,0
APP004895,Male,No,1,Not Graduate,Self-Employed,54270.0,10650.0,26000.0,60,1.0,North,54.0,2024-03-17,0
APP001490,Male,No,2,Graduate,Salaried,48158.0,7910.0,88000.0,48,1.0,EAST,38.0,2024-04-04,0
APP003896,Female,No,0,Graduate,Salaried,83159.0,2592.0,131000.0,84,1.0,South,33.0,2024-02-02,0
APP001236,Male,Yes,0,Not Graduate,salaried,96098.0,449.0,307000.0,24,1.0,West,21.0,2024-03-17,0
APP004472,Female,Yes,2,Not Graduate,Salaried ,,2694.0,154000.0,48,,East,21.0,2024-03-09,0
APP000434,Male,No,1,Not Graduate,SELF-EMPLOYED,83742.0,20209.0,146000.0,36,0.0,North,30.0,2024-06-24,0
APP000247,Male,Yes,0,Not Graduate,salaried,60735.0,19241.0,38000.0,12,1.0,West,41.0,2024-12-15,0
APP003894,Male,No,0,Graduate,Salaried,55059.0,12636.0,86000.0,12,1.0,north,23.0,2023-03-11,0
APP003993,Female,Yes,3,Graduate,Salaried,45429.0,12003.0,110000.0,60,1.0,East,33.0,2023-08-05,0
APP000707,Male,Yes,0,Graduate,Self-Employed,59160.0,16121.0,91000.0,60,1.0,East,39.0,2024-11-20,0
APP005628,Male,Yes,1,Graduate,Salaried,52437.0,11193.0,100000.0,12,1.0,West ,49.0,2023-12-13,0
APP002837,Female,No,0,Graduate,Salaried,93629.0,8837.0,168000.0,36,1.0,North,28.0,2023-07-18,0
APP000195,Male,Yes,2,Graduate,Self-Employed,38304.0,3637.0,263000.0,48,1.0,East,44.0,2023-04-23,0
APP001269,Female,Yes,3,Graduate,self employed,26562.0,5186.0,75000.0,48,1.0,EAST,51.0,2024-09-19,0
APP001138,Male,Yes,0,Graduate,Salaried,39632.0,12971.0,139000.0,36,1.0,East,,2023-08-03,0
APP005997,Male,Yes,0,Not Graduate,Salaried,13902.0,1398.0,,84,0.0,EAST,45.0,2024-01-12,1
APP004478,Male,Yes,1,Graduate,SELF-EMPLOYED,79827.0,6446.0,118000.0,360,1.0,North,43.0,2023-06-22,0
APP005210,Male,No,0,Graduate,Salaried,132037.0,33247.0,220000.0,12,1.0,South,33.0,2023-04-13,0
APP000876,Male,Yes,3,Graduate,Salaried ,39806.0,13038.0,235000.0,12,0.0,North,23.0,2023-05-28,1
APP002555,Male,No,0,Graduate,Self-Employed,88554.0,18099.0,96000.0,360,1.0,West ,28.0,2023-12-16,0
APP004520,Male,Yes,0,Graduate,Salaried ,123310.0,5674.0,169000.0,48,1.0,East,49.0,2023-01-23,0
APP002367,Male,No,1,Graduate,self employed,30254.0,85.0,41000.0,84,1.0,north,59.0,2023-04-15,0
APP004831,Female,Yes,0,Graduate,salaried,67116.0,6062.0,98000.0,36,1.0,West,26.0,2023-09-25,0
APP005716,Male,Yes,0,Graduate,Salaried,27501.0,8382.0,136000.0,48,1.0,EAST,28.0,2023-06-13,0
APP000758,Male,No,0,Graduate,salaried,39678.0,7760.0,47000.0,12,1.0,north,23.0,2024-04-06,0
APP004101,Female,No,0,Graduate,Self-Employed,37509.0,5525.0,148000.0,120,0.0,EAST,40.0,2024-02-29,0
APP004699,Male,Yes,2,Graduate,Salaried,78788.0,10846.0,71000.0,24,1.0,East,43.0,2023-01-22,0
APP000935,Male,Yes,0,Graduate,Salaried,71801.0,12027.0,105000.0,240,1.0,South,48.0,2023-04-14,0
APP000306,Female,Yes,1,Graduate,SELF-EMPLOYED,33601.0,2646.0,230000.0,84,1.0,North,53.0,2024-05-21,0
APP004884,Male,Yes,2,Graduate,Salaried ,61314.0,16529.0,96000.0,120,1.0,South,41.0,2023-04-20,0
APP001855,Female,Yes,0,Graduate,Salaried ,107703.0,12835.0,153000.0,36,0.0,North,34.0,2024-08-25,1
APP003007,Female,Yes,0,Not Graduate,Salaried,55023.0,5506.0,99000.0,360,0.0,East,45.0,2023-01-29,0
APP001243,Female,Yes,2,Graduate,Salaried,62683.0,14418.0,116000.0,240,1.0,North,30.0,2024-03-21,0
APP001669,Male,No,2,Graduate,Salaried,58780.0,333.0,42000.0,24,1.0,North,49.0,2024-03-31,0
APP000713,Male,No,0,Graduate,Salaried,74281.0,6571.0,77000.0,180,1.0,South,45.0,2024-07-24,0
APP000988,Male,Yes,1,Graduate,salaried,17193.0,648.0,222000.0,60,1.0,EAST,40.0,2024-11-12,0
APP005632,Female,No,1,Graduate,self employed,24751.0,603.0,103000.0,84,1.0,East,27.0,2024-09-22,0
APP005769,Male,Yes,3,Not Graduate,Salaried ,114431.0,31592.0,52000.0,60,,West ,48.0,2024-07-05,1
APP001779,Male,Yes,1,Graduate,SELF-EMPLOYED,115057.0,25521.0,156000.0,240,1.0,North,46.0,2023-06-04,0
APP004978,Male,Yes,2,Graduate,self employed,27138.0,2477.0,470000.0,60,0.0,EAST,57.0,2024-01-02,0
APP002164,Female,Yes,1,Graduate,Salaried,36449.0,1846.0,84000.0,240,1.0,South,24.0,2023-11-08,0
APP002764,Male,Yes,0,Graduate,Salaried,37229.0,9705.0,249000.0,48,1.0,West,42.0,2023-12-05,0
APP003826,Male,Yes,0,Not Graduate,Salaried ,159782.0,47136.0,104000.0,360,1.0,West,31.0,2023-10-09,0
APP000969,Male,No,2,Graduate,Salaried ,48338.0,10305.0,99000.0,60,0.0,West,40.0,2023-10-01,0
APP004270,Female,Yes,4,Not Graduate,Salaried,88466.0,23305.0,52000.0,48,1.0,South,44.0,2024-12-05,0
APP000403,Male,Yes,2,Not Graduate,Salaried,20533.0,3080.0,108000.0,240,1.0,West,41.0,2023-07-09,0
APP002245,Female,Yes,0,Not Graduate,Salaried,58486.0,5002.0,50000.0,60,1.0,East,42.0,2023-12-18,0
APP002294,Male,Yes,0,Graduate,Self-Employed,61066.0,18956.0,149000.0,120,1.0,North,54.0,2023-12-27,0
APP003100,Male,No,0,Not Graduate,Self-Employed,73830.0,3176.0,62000.0,60,,EAST,37.0,2023-12-06,0
APP005326,Male,No,0,Not Graduate,Salaried,19437.0,3554.0,45000.0,36,1.0,West ,26.0,2023-03-19,0
APP001105,Female,No,0,Graduate,Self-Employed,17196.0,1123.0,70000.0,180,1.0,South,41.0,2023-11-20,0
APP002162,Female,No,2,Not Graduate,Salaried,62781.0,5259.0,62000.0,12,1.0,South,37.0,2023-01-10,0
APP002608,Male,Yes,1,Graduate,Salaried,95404.0,17197.0,64000.0,60,0.0,North,23.0,2023-05-17,1
APP004644,Male,No,1,Graduate,salaried,27885.0,5592.0,43000.0,120,1.0,East,29.0,2023-09-16,0
APP001343,Female,Yes,0,Graduate,Self-Employed,125371.0,40119.0,58000.0,60,1.0,north,57.0,2024-08-28,0
APP000277,Female,Yes,1,Not Graduate,salaried,32734.0,6589.0,53000.0,12,1.0,South,37.0,2024-11-23,0
APP002470,Male,Yes,2,Not Graduate,Salaried,50806.0,13617.0,76000.0,24,1.0,north,59.0,2024-09-19,0
APP001129,Male,No,2,Graduate,Self-Employed,97137.0,6517.0,43000.0,120,1.0,West,39.0,2023-02-22,0
APP005664,Male,Yes,0,Graduate,Salaried ,30556.0,7998.0,50000.0,84,1.0,South,32.0,2023-12-08,0
APP001716,Female,No,0,Graduate,Salaried,38037.0,4586.0,,36,1.0,East,28.0,2024-08-19,0
APP003318,Male,Yes,0,Graduate,Self-Employed,51335.0,1959.0,179000.0,24,1.0,East,64.0,2023-06-02,0
APP005147,Female,Yes,1,Graduate,Salaried,26630.0,3382.0,100000.0,180,1.0,West,21.0,2024-11-05,0
APP004322,Female,No,1,Not Graduate,Salaried ,40768.0,2950.0,80000.0,36,1.0,West,34.0,2023-06-22,0
APP003061,Male,Yes,2,Graduate,Salaried,29472.0,4491.0,210000.0,36,1.0,North,47.0,2024-01-06,0
APP004345,Female,Yes,2,Graduate,Self-Employed,40754.0,6779.0,229000.0,120,0.0,South,44.0,2023-07-08,0
APP003340,Female,No,1,Not Graduate,Salaried,71046.0,3159.0,72000.0,12,1.0,West,33.0,2024-07-20,0
APP000136,Male,No,0,Not Graduate,SELF-EMPLOYED,48051.0,3689.0,129000.0,60,1.0,South,21.0,2023-08-10,0
APP000950,Female,No,2,Graduate,Self-Employed,40619.0,7050.0,107000.0,240,1.0,North,28.0,2023-12-09,0
APP002536,Female,No,0,Graduate,Salaried,51182.0,16715.0,308000.0,120,,South,30.0,2024-02-11,0
APP003092,Female,Yes,0,Graduate,Self-Employed,57303.0,5306.0,61000.0,120,1.0,East,46.0,2023-11-06,0
APP005575,Female,Yes,0,Graduate,Salaried,49419.0,4382.0,68000.0,24,1.0,North,46.0,2024-10-08,0
APP001145,Male,No,1,Graduate,SELF-EMPLOYED,20135.0,4483.0,127000.0,84,1.0,West,47.0,2024-04-21,0
APP001724,,Yes,2,Graduate,self employed,28216.0,4929.0,59000.0,120,1.0,South,49.0,2024-11-11,0
APP000699,Male,Yes,1,Graduate,SELF-EMPLOYED,33613.0,7482.0,136000.0,120,1.0,West,21.0,2024-08-01,0
APP003635,Male,No,3,Graduate,self employed,67021.0,4793.0,43000.0,84,1.0,East,,2024-06-12,0
APP005509,Male,No,0,Graduate,salaried,123888.0,1628.0,60000.0,48,,North,30.0,2024-01-25,0
APP005729,Male,Yes,3,Graduate,Salaried,24425.0,8275.0,95000.0,360,1.0,North,37.0,2024-02-07,0
APP004361,Male,Yes,2,Graduate,Salaried,25949.0,201.0,121000.0,60,1.0,West,36.0,2024-02-28,0
APP003556,Female,Yes,0,Graduate,Self-Employed,27915.0,5376.0,92000.0,120,1.0,South,30.0,2023-06-15,0
APP000009,Female,No,3,Graduate,salaried,65211.0,19001.0,35000.0,48,,EAST,41.0,2023-12-23,0
APP005858,Male,No,0,Graduate,Salaried,39994.0,9501.0,150000.0,240,0.0,North,32.0,2024-11-23,0
APP000738,Female,Yes,0,Graduate,Salaried ,52502.0,7070.0,90000.0,180,0.0,South,37.0,2023-08-01,0
APP002013,Female,Yes,4,Graduate,Self-Employed,28262.0,7676.0,34000.0,60,1.0,West,38.0,2023-11-04,0
APP005269,Female,Yes,0,Not Graduate,Salaried,33753.0,1922.0,355000.0,84,1.0,East,24.0,2024-01-06,0
APP001219,Female,Yes,2,Graduate,salaried,52846.0,5052.0,107000.0,60,1.0,East,48.0,2023-06-28,0
APP000757,Female,Yes,2,Graduate,Salaried,33147.0,1923.0,,360,,EAST,28.0,2024-11-28,0
APP003855,Female,Yes,1,Not Graduate,Self-Employed,136657.0,5920.0,124000.0,360,1.0,North,59.0,2024-12-10,0
APP001685,Male,No,3,Graduate,Salaried ,24187.0,3967.0,96000.0,84,0.0,East,39.0,2023-06-03,0
APP004900,Female,No,0,Graduate,Salaried,46466.0,914.0,102000.0,240,1.0,West ,39.0,2024-12-14,0
APP003423,Female,Yes,1,Graduate,Salaried,81588.0,1313.0,57000.0,120,1.0,West,34.0,2023-10-10,0
APP000747,Male,Yes,1,Graduate,Salaried ,37599.0,4808.0,67000.0,36,1.0,EAST,34.0,2024-04-01,0
APP001183,Female,No,0,Graduate,Salaried ,,1820.0,87000.0,180,1.0,EAST,57.0,2023-04-04,0
APP001464,Female,Yes,0,Graduate,Salaried,45152.0,2358.0,330000.0,48,1.0,East,41.0,2024-10-25,0
APP005744,Female,Yes,1,Graduate,Self-Employed,25707.0,4178.0,65000.0,48,1.0,north,35.0,2023-07-29,0
APP000684,Female,Yes,1,Graduate,Self-Employed,69879.0,20908.0,93000.0,180,1.0,EAST,47.0,2024-10-17,0
APP001936,Female,Yes,3,Graduate,Salaried,43555.0,4631.0,41000.0,48,1.0,EAST,48.0,2023-12-18,1
APP005485,Female,No,2,Graduate,Salaried,80264.0,14557.0,72000.0,60,1.0,West,54.0,2024-06-22,0
APP001586,Male,Yes,1,Graduate,Self-Employed,36647.0,6882.0,75000.0,12,0.0,South,35.0,2023-09-06,0
APP002731,Female,Yes,0,Not Graduate,self employed,25603.0,8310.0,307000.0,36,1.0,North,22.0,2024-03-06,0
APP004567,Male,No,3,Not Graduate,self employed,52654.0,734.0,138000.0,60,1.0,East,37.0,2023-01-30,0
APP001581,Male,No,2,Graduate,Self-Employed,24791.0,8024.0,105000.0,60,1.0,South,33.0,2024-08-08,1
APP001355,Male,No,2,Not Graduate,SELF-EMPLOYED,41328.0,13664.0,371000.0,120,1.0,West,31.0,2024-08-24,0
APP003943,Male,Yes,2,Graduate,Self-Employed,40608.0,9827.0,96000.0,120,1.0,north,32.0,2024-10-25,0
APP000335,Male,Yes,2,Not Graduate,Salaried,49875.0,14286.0,127000.0,60,1.0,South,41.0,2024-10-06,1
APP003064,Female,No,0,Graduate,Salaried,94511.0,6214.0,54000.0,180,1.0,East,31.0,2024-04-03,0
APP005024,Female,No,4,Graduate,Self-Employed,87177.0,15976.0,128000.0,12,1.0,north,26.0,2024-06-25,0
APP003178,Female,No,0,Not Graduate,salaried,75413.0,8.0,69000.0,48,0.0,EAST,35.0,2024-07-30,1
APP003999,Male,No,2,Graduate,Salaried,38247.0,11634.0,156000.0,84,1.0,North,44.0,2023-03-11,0
APP002039,Male,No,2,Graduate,Self-Employed,48164.0,15227.0,83000.0,120,1.0,North,40.0,2023-05-03,0
APP002707,Male,Yes,1,Graduate,Self-Employed,21320.0,462.0,51000.0,36,0.0,South,33.0,2024-12-05,1
APP002493,Female,No,1,Graduate,Salaried,48697.0,2335.0,67000.0,36,1.0,South,21.0,2024-04-30,0
APP001550,Female,No,4,Graduate,SELF-EMPLOYED,54296.0,5249.0,62000.0,24,1.0,West,34.0,2024-03-15,0
APP004354,Female,No,1,Not Graduate,Self-Employed,39252.0,13226.0,32000.0,60,1.0,West,45.0,2023-08-17,0
APP002538,Male,Yes,0,Graduate,Self-Employed,30982.0,1317.0,75000.0,120,1.0,South,25.0,2023-12-23,0
APP005460,Female,No,3,Graduate,Salaried,42353.0,3661.0,40000.0,48,1.0,South,58.0,2024-07-09,0
APP000150,Male,No,3,Graduate,self employed,104365.0,25176.0,289000.0,48,0.0,West,34.0,2023-08-12,0
APP004094,Female,No,0,Graduate,Salaried,23123.0,5624.0,88000.0,180,1.0,North,36.0,2024-05-05,0
APP002800,Male,Yes,0,Graduate,Salaried ,68814.0,23003.0,193000.0,36,,North,51.0,2023-11-20,1
APP004456,,Yes,4,Graduate,self employed,60805.0,6405.0,31000.0,180,,North,32.0,2024-12-04,0
APP002838,Male,No,1,Graduate,self employed,35559.0,2115.0,224000.0,84,,EAST,39.0,2023-09-20,1
APP005768,Male,No,3,Graduate,salaried,52813.0,269.0,73000.0,84,,West,52.0,2023-12-09,0
APP002406,Female,Yes,1,Graduate,Salaried,35026.0,2143.0,,48,1.0,West,31.0,2024-10-18,0
APP001546,Male,Yes,3,Graduate,salaried,44314.0,12692.0,184000.0,180,1.0,East,24.0,2023-12-10,0
APP001123,Female,No,2,Graduate,Self-Employed,22928.0,3462.0,65000.0,48,,north,39.0,2023-09-29,0
APP005771,Female,Yes,4,Graduate,SELF-EMPLOYED,75189.0,5425.0,306000.0,360,1.0,West,36.0,2024-09-23,0
APP003174,Male,No,0,Graduate,Salaried ,47140.0,16294.0,56000.0,180,1.0,South,56.0,2024-02-14,0
APP001709,Female,Yes,0,Not Graduate,Self-Employed,17243.0,3065.0,190000.0,48,,North,38.0,2024-09-08,0
APP004749,Male,Yes,1,Not Graduate,SELF-EMPLOYED,67583.0,6899.0,278000.0,48,1.0,West ,,2024-05-20,0
APP004080,Male,No,0,Not Graduate,Salaried,58802.0,15999.0,78000.0,84,1.0,East,39.0,2023-12-04,0
APP001766,Male,Yes,0,Graduate,Salaried,93905.0,18408.0,93000.0,84,1.0,South,30.0,2024-02-07,1
APP002831,Male,Yes,4,Not Graduate,salaried,83687.0,3890.0,116000.0,180,1.0,East,38.0,2023-06-11,0
APP000733,Female,Yes,0,Graduate,Salaried,16614.0,522.0,139000.0,60,1.0,North,41.0,2023-12-31,0
APP002586,Female,No,1,Graduate,Salaried,97138.0,19902.0,42000.0,60,1.0,West,30.0,2023-07-12,0
APP001982,Female,Yes,0,Graduate,SELF-EMPLOYED,57332.0,18291.0,131000.0,24,1.0,North,67.0,2023-01-14,0
APP003674,Male,No,0,Graduate,Salaried ,13351.0,2805.0,178000.0,36,1.0,North,28.0,2023-09-04,0
APP002821,Female,No,0,Graduate,self employed,21183.0,6245.0,126000.0,120,1.0,East,55.0,2024-06-04,0
APP003508,Male,No,1,Graduate,SELF-EMPLOYED,28834.0,8610.0,,60,1.0,West,35.0,2024-02-27,0
APP001662,Male,Yes,0,Graduate,Self-Employed,34011.0,9410.0,91000.0,36,1.0,West ,34.0,2024-09-20,0
APP000084,Male,Yes,1,Graduate,SELF-EMPLOYED,42776.0,5361.0,50000.0,240,1.0,South,36.0,2023-08-03,0
APP003458,Female,Yes,2,Graduate,Salaried,82505.0,4523.0,54000.0,60,1.0,South,35.0,2024-06-25,0
APP003243,Male,Yes,0,Graduate,Salaried ,51223.0,1469.0,51000.0,180,1.0,West ,28.0,2024-06-01,0
APP001975,Male,Yes,4,Graduate,Salaried ,39051.0,8768.0,62000.0,60,1.0,West,24.0,2023-04-16,1
APP005910,Male,Yes,3,Not Graduate,Salaried ,35232.0,6561.0,93000.0,48,1.0,North,40.0,2023-05-02,0
APP002269,Male,Yes,0,Graduate,SELF-EMPLOYED,75497.0,534.0,203000.0,36,1.0,East,49.0,2024-03-17,0
APP001603,Male,Yes,0,Graduate,Self-Employed,46027.0,12275.0,,180,1.0,North,21.0,2024-07-28,0
APP002426,Female,No,3,Graduate,salaried,,1013.0,60000.0,36,1.0,north,38.0,2023-05-08,0
APP004466,Male,Yes,0,Graduate,Salaried ,106698.0,9268.0,242000.0,36,1.0,West,31.0,2023-03-25,0
APP003554,Male,No,3,Not Graduate,Self-Employed,82406.0,24586.0,84000.0,84,1.0,East,40.0,2024-04-18,0
APP001611,Female,Yes,4,Graduate,Salaried,45297.0,13379.0,163000.0,360,1.0,North,42.0,2023-10-06,0
APP001599,Male,No,0,Graduate,SELF-EMPLOYED,101216.0,33936.0,,12,1.0,EAST,37.0,2024-04-26,0
APP000583,Male,No,0,Graduate,Salaried,34160.0,10763.0,119000.0,48,1.0,EAST,49.0,2023-07-19,1
APP001133,Male,Yes,2,Graduate,Salaried ,35894.0,10290.0,55000.0,120,1.0,West ,35.0,2024-05-29,0
APP001842,Male,No,2,Graduate,Salaried,37859.0,8800.0,177000.0,12,0.0,North,47.0,2024-12-23,1
APP002353,Female,Yes,1,Not Graduate,Salaried ,41360.0,8305.0,156000.0,48,1.0,East,38.0,2023-09-11,0
APP003676,Male,Yes,3,Graduate,salaried,19182.0,2651.0,213000.0,120,1.0,West,39.0,2023-10-19,0
APP000184,Female,Yes,3,Graduate,Salaried,55065.0,15856.0,109000.0,12,1.0,West,46.0,2024-07-07,0
APP001645,Male,Yes,2,Not Graduate,Self-Employed,59678.0,16726.0,33000.0,84,1.0,North,21.0,2023-08-19,0
APP001859,Female,Yes,1,Graduate,Salaried ,43535.0,12400.0,192000.0,48,1.0,North,29.0,2023-11-15,0
APP003706,Female,Yes,3,Graduate,Salaried,54569.0,4474.0,51000.0,60,1.0,West ,24.0,2024-07-26,0
APP001421,Male,Yes,1,Graduate,Salaried,32043.0,5383.0,123000.0,48,1.0,North,53.0,2023-05-14,0
APP000057,Male,Yes,3,Not Graduate,Self-Employed,15527.0,2863.0,133000.0,240,1.0,East,35.0,2023-01-12,1
APP002374,Male,No,2,Graduate,Salaried,964942.689773421,11064.0,60000.0,60,0.0,East,45.0,2024-05-28,0
APP003237,Male,No,1,Not Graduate,self employed,39236.0,3009.0,352000.0,180,1.0,North,39.0,2024-03-19,0
APP000122,Female,No,2,Not Graduate,Salaried,53204.0,10553.0,261000.0,60,0.0,North,36.0,2024-05-12,0
APP005912,Female,No,4,Graduate,self employed,43717.0,4065.0,166000.0,360,1.0,north,26.0,2023-01-23,0
APP002312,Female,Yes,2,Graduate,Salaried,21220.0,849.0,80000.0,48,,West,28.0,2023-07-30,1
APP005342,Female,Yes,2,Graduate,salaried,63105.0,9256.0,97000.0,120,1.0,North,35.0,2024-08-22,0
APP001441,Female,No,2,Graduate,Salaried ,39743.0,10300.0,83000.0,36,1.0,West,57.0,2023-08-08,0
APP003636,Male,Yes,3,Not Graduate,SELF-EMPLOYED,60513.0,11304.0,412000.0,60,,South,44.0,2023-12-18,0
APP003471,Male,No,1,Not Graduate,self employed,887180.1341482662,11532.0,22000.0,48,1.0,EAST,35.0,2023-12-09,0
APP002424,Male,Yes,3,Graduate,self employed,15689.0,2739.0,165000.0,48,0.0,South,47.0,2023-12-13,1
APP005015,Male,Yes,0,Graduate,Self-Employed,45941.0,2770.0,150000.0,240,1.0,East,38.0,2023-08-20,1
APP004381,Male,Yes,0,Graduate,salaried,87921.0,14413.0,98000.0,12,1.0,East,53.0,2024-12-24,0
APP005450,Male,No,1,Graduate,salaried,55448.0,1149.0,81000.0,48,1.0,South,21.0,2024-07-19,0
APP005068,Male,No,3,Graduate,Self-Employed,25573.0,1663.0,145000.0,12,,South,34.0,2023-08-18,0
APP004438,Female,Yes,3,Graduate,Salaried ,59173.0,3479.0,70000.0,60,1.0,West,37.0,2024-09-09,0
APP004457,Female,No,0,Graduate,Salaried,46674.0,6177.0,67000.0,48,1.0,North,48.0,2024-08-10,0
APP002684,Male,Yes,2,Graduate,SELF-EMPLOYED,18587.0,2296.0,165000.0,240,1.0,South,39.0,2023-11-05,0
APP000001,Male,No,3,Graduate,Salaried,,5417.0,284000.0,120,1.0,West,35.0,2024-10-18,0
APP005720,Male,Yes,1,Not Graduate,Salaried ,31689.0,5686.0,91000.0,240,1.0,South,29.0,2023-03-17,0
APP005186,Female,No,0,Not Graduate,self employed,36449.0,8038.0,245000.0,120,1.0,North,41.0,2024-10-29,0
APP005726,Female,Yes,1,Graduate,Salaried,208525.0,30971.0,124000.0,84,1.0,East,29.0,2023-01-20,0
APP003693,Female,No,0,Graduate,salaried,68693.0,15451.0,140000.0,36,1.0,north,51.0,2024-01-11,0
APP002706,Female,Yes,1,Graduate,Salaried,47483.0,10225.0,65000.0,120,1.0,West,48.0,2023-11-16,0
APP002126,Female,Yes,0,Graduate,Salaried,41732.0,1865.0,102000.0,180,1.0,West,27.0,2024-10-20,0
APP002080,Female,No,1,Not Graduate,Self-Employed,22280.0,3397.0,173000.0,84,1.0,East,59.0,2023-10-18,0
APP005362,Male,No,1,Graduate,Salaried ,28583.0,1698.0,174000.0,120,0.0,West,27.0,2023-05-02,0
APP001079,Male,No,0,Not Graduate,Salaried,89928.0,4098.0,146000.0,36,1.0,South,38.0,2023-12-10,0
APP001176,Male,Yes,3,Graduate,Self-Employed,9949.0,2632.0,253000.0,120,1.0,North,,2024-02-18,0
APP001321,Male,Yes,1,Graduate,self employed,40146.0,6353.0,170000.0,60,0.0,East,45.0,2023-01-13,0
APP003803,Female,Yes,3,Graduate,self employed,98369.0,3105.0,60000.0,120,1.0,East,200.0,2023-09-17,0
APP005212,Male,Yes,3,Graduate,SELF-EMPLOYED,134208.0,7093.0,87000.0,240,1.0,EAST,33.0,2023-06-15,1
APP001555,Male,No,2,Graduate,Salaried ,27664.0,2691.0,27000.0,60,1.0,West,45.0,2024-05-09,0
APP004147,Male,No,4,Not Graduate,salaried,66943.0,4869.0,50000.0,180,0.0,North,22.0,2023-04-19,1
APP002437,Male,Yes,1,Graduate,SELF-EMPLOYED,89043.0,10882.0,44000.0,60,1.0,West ,50.0,2024-04-14,0
APP001715,Male,Yes,3,Not Graduate,Salaried,32166.0,3258.0,92000.0,180,1.0,West ,53.0,2023-08-22,0
APP004787,Female,No,0,Graduate,salaried,43898.0,5739.0,235000.0,60,1.0,West,44.0,2023-11-10,0
APP004178,Female,Yes,0,Graduate,self employed,71430.0,17751.0,80000.0,60,,South,33.0,2024-01-12,0
APP002216,Male,Yes,0,Graduate,self employed,80335.0,7287.0,142000.0,60,0.0,North,35.0,2024-07-15,1
APP003544,Male,Yes,2,Graduate,Salaried ,60351.0,8915.0,233000.0,120,1.0,South,31.0,2023-10-21,0
APP004565,Male,Yes,3,Graduate,SELF-EMPLOYED,32277.0,8349.0,,60,,West,49.0,2023-12-12,0
APP004717,Female,No,0,Graduate,Salaried ,39740.0,9114.0,64000.0,120,1.0,South,32.0,2024-11-26,0
APP004013,Female,No,0,Graduate,Salaried,151477.0,22598.0,71000.0,84,1.0,North,21.0,2024-04-10,0
APP004300,Female,Yes,0,Graduate,Salaried ,42969.0,1454.0,127000.0,180,1.0,West,45.0,2024-02-19,0
APP001339,Male,Yes,3,Graduate,SELF-EMPLOYED,67309.0,22286.0,113000.0,120,1.0,South,27.0,2023-11-28,0
APP001916,Female,Yes,0,Graduate,self employed,29286.0,7240.0,59000.0,120,,South,38.0,2023-09-12,0
